item_id,domain,condition,rag,y,conf,mce,brier,tool,forbidden,parse_ok
d2.05,2,verify,OFF,1.0,0.71,0.29,0.09496666666666666,0.3333333333333333,0.0,1.0
d2.05,2,verify,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d2.06,2,cot,OFF,1.0,0.8833333333333333,0.1166666666666667,0.015833333333333338,0.6666666666666666,0.0,1.0
d2.06,2,cot,ON,1.0,0.9166666666666666,0.08333333333333333,0.007499999999999997,0.0,0.0,1.0
d2.06,2,dual,OFF,0.6666666666666666,0.7799999999999999,0.21999999999999997,0.0876,0.3333333333333333,0.0,0.6666666666666666
d2.06,2,dual,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d2.06,2,high_c,OFF,1.0,0.9166666666666666,0.08333333333333337,0.009166666666666672,0.6666666666666666,0.0,1.0
d2.06,2,high_c,ON,1.0,0.9233333333333333,0.07666666666666666,0.0062999999999999974,0.0,0.0,1.0
d2.06,2,verify,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,1.0,0.0,1.0
d2.06,2,verify,ON,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d2.07,2,cot,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,1.0,0.0,1.0
d2.07,2,cot,ON,1.0,0.7799999999999999,0.21999999999999997,0.04839999999999999,0.0,0.0,1.0
